word,reading,meaning_en,pos,common
刑訴法,けいそほう,Code of Criminal Procedure,n,False
市街化,しがいか,urbanization,"n,vs",False
砂防法,さぼうほう,Erosion Control Act,n,False
施行令,しこうれい,enforcement ordinance,n,False
暴行罪,ぼうこうざい,(crime of) assault,n,False
細街路,さいがいろ,back road (narrower than 4 meters),n,False
留置権,りゅうちけん,lien,n,False
企業法,きぎょうほう,business law,n,False
国会法,こっかいほう,Diet Act,n,False
旅券法,りょけんほう,Passport Act,n,False
財政法,ざいせいほう,Public Finance Act,n,False
会計法,かいけいほう,Public Accounting Act,n,False
酒税法,しゅぜいほう,Liquor Tax Act,n,False
関税法,かんぜいほう,Customs Act,n,False
測量法,そくりょうほう,Survey Act,n,False
道路法,どうろほう,Road Act,n,False
河川法,かせんほう,River Act,n,False
景観法,けいかんほう,Landscape Act,n,False
警察法,けいさつほう,Police Act,n,False
採石法,さいせきほう,Quarrying Act,n,False
種苗法,しゅびょうほう,Plant Variety Protection and Seed Act,n,False
医事法,いじほう,medical law,n,False
供託法,きょうたくほう,Deposit Act,n,False
郵便法,ゆうびんほう,Postal Act,n,False
意匠法,いしょうほう,Design Act,n,False
本国法,ほんごくほう,law of the country of one's nationality,n,False
親族法,しんぞくほう,family law,n,False
相続法,そうぞくほう,inheritance laws,n,False
日本法,にほんほう,Japanese law,n,False
常居所,じょうきょしょ,habitual residence,n,False
拘禁刑,こうきんけい,imprisonment,n,False
拘禁者,こうきんしゃ,detainee,n,False
検疫法,けんえきほう,Quarantine Act,n,False
無主物,むしゅぶつ,ownerless property,n,False
過疎法,かそほう,Underpopulated Areas Revitalizing Law,n,False
判決書,はんけつしょ,judgement document,n,False
主犯格,しゅはんかく,key culprit,n,False
和解金,わかいきん,out-of-court settlement payment,n,False
脱税犯,だつぜいはん,(crime of) tax evasion,n,False
温対法,おんたいほう,Act on Promotion of Global Warming Countermeasures,n,False
行政罰,ぎょうせいばつ,administrative punishment,n,False
売防法,ばいぼうほう,Anti-Prostitution Act,n,False
伝産法,でんさんほう,Act on the Promotion of Traditional Craft Industries,n,False
暴対法,ぼうたいほう,Act on Prevention of Unjust Acts by Organized Crime Group Members,n,False
旧民法,きゅうみんぽう,parts of the civil code relating to kinship and inheritance that were rewritten in 1947,n,False
災対法,さいたいほう,Basic Act on Disaster Management,n,False
報労金,ほうろうきん,remuneration paid to the finder of a lost item,n,False
ＰＬ法,ピーエルほう,Product Liability Act,n,False
限時法,げんじほう,temporary legislation,n,False
翻案権,ほんあんけん,adaptation rights,n,False
受寄者,じゅきしゃ,bailee,n,False
国土法,こくどほう,National Land Use Planning Act,n,False
遡及法,そきゅうほう,retroactive law,n,False
商標法,しょうひょうほう,Trademark Act,n,False
判決例,はんけつれい,judicial precedent,n,False
行使罪,こうしざい,uttering (e.g. false documents),n,False
連続犯,れんぞくはん,continuing offense (multiple consecutive offenses treated a single crime; repealed in 1947),n,False
私法人,しほうじん,private corporation,n,False
特例法,とくれいほう,special law,n,False
身分犯,みぶんはん,status offense,n,False
加重犯,かじゅうはん,aggravated offense,n,False
性交等,せいこうとう,sexual intercourse,n,False
三審制,さんしんせい,three-tiered court system,n,False
合議審,ごうぎしん,collegiate adjudication,n,False
財産犯,ざいさんはん,property crime,n,False
財産罪,ざいさんざい,property crime,n,False
毀棄罪,ききざい,(crime of) damaging property,n,False
隠匿罪,いんとくざい,(crime of) concealment,n,False
領得罪,りょうとくざい,(crime of) appropriation,n,False
牽連犯,けんれんはん,implicated offense (where the means or result constitutes a separate offense),n,False
執行権,しっこうけん,power of enforcement,n,False
提訴人,ていそにん,plaintiff,n,False
参加人,さんかにん,intervener,n,False
景表法,けいひょうほう,Act against Unjustifiable Premiums and Misleading Representations,n,False
能力者,のうりょくしゃ,competent person,n,False
能開法,のうかいほう,Vocational Abilities Development Promotion Act,n,False
人身保護,じんしんほご,habeas corpus,n,False
先取特権,せんしゅとっけん,statutory lien,n,False
不可抗力,ふかこうりょく,force majeure,"n,adj-no",False
民事事件,みんじじけん,civil case,n,False
無限責任,むげんせきにん,unlimited liability,n,False
養子縁組,ようしえんぐみ,adoption (of a person),n,False
各種学校,かくしゅがっこう,miscellaneous school,n,False
証拠隠滅,しょうこいんめつ,destruction of evidence,n,False
無実の罪,むじつのつみ,false charge,"exp,n",False
無能力者,むのうりょくしゃ,person without legal capacity,n,False
禁治産者,きんちさんしゃ,(legally) incompetent individual,n,False
属人主義,ぞくじんしゅぎ,principle of nationality (according to which an offender should be tried in accordance with the law of his or her own country),n,False
属地主義,ぞくちしゅぎ,principle of territorial jurisdiction,n,False
著作権法,ちょさくけんほう,Copyright Act,n,False
皇室典範,こうしつてんぱん,Imperial House Act,n,False
物的証拠,ぶってきしょうこ,physical evidence,n,False
国民審査,こくみんしんさ,national review,n,False
国家賠償,こっかばいしょう,state indemnity,n,False
失踪宣告,しっそうせんこく,court decision declaring a missing person legally dead,n,False
逸失利益,いっしつりえき,lost profit,n,False
死体遺棄,したいいき,abandonment of a corpse,n,False
尋問調書,じんもんちょうしょ,"record of an interrogation (of a suspect, witness, etc.)",n,False
心神喪失,しんしんそうしつ,insanity,n,False
強制執行,きょうせいしっこう,(compulsory) execution,n,False
法律行為,ほうりつこうい,legal action,n,False
集団訴訟,しゅうだんそしょう,class action,n,False
確定判決,かくていはんけつ,final sentence,n,False
業務妨害,ぎょうむぼうがい,obstruction of business,n,False
施行規則,しこうきそく,enforcement regulations,n,False
出頭命令,しゅっとうめいれい,summons,n,False
被相続人,ひそうぞくにん,decedent,n,False
身体傷害,からだしょうがい,bodily injury,n,False
地方税法,ちほうぜいほう,Local Tax Act,n,False
直接尋問,ちょくせつじんもん,direct examination,n,False
身柄送検,みがらそうけん,turning a suspect over to the public prosecutor's office,"n,vs",False
器物損壊,きぶつそんかい,"property damage (not including ships, buildings, planes and documents)",n,False
即時抗告,そくじこうこく,immediate appeal,n,False
所得税法,しょとくぜいほう,Income Tax Act,n,False
実況見分,じっきょうけんぶん,on-the-spot investigation,n,False
訴訟係属,そしょうけいぞく,pendency,n,False
印紙税法,いんしぜいほう,Stamp Tax Act,n,False
自衛隊法,じえいたいほう,Self-Defense Forces Act,n,False
構成要件,こうせいようけん,structural elements (of an offence),n,False
法定強姦,ほうていごうかん,statutory rape,n,False
共同遺言,きょうどういごん,common will,n,False
傷害致死,しょうがいちし,manslaughter,n,False
導管実体,どうかんじったい,pass-through entity,n,False
硬性憲法,こうせいけんぽう,rigid constitution,n,False
軟性憲法,なんせいけんぽう,flexible constitution,n,False
注意義務,ちゅういぎむ,duty of care,n,False
共同相続,きょうどうそうぞく,joint inheritance,n,False
恒久施設,こうきゅうしせつ,permanent establishment (in tax law),n,False
消滅時効,しょうめつじこう,extinctive prescription,n,False
公訴時効,こうそじこう,limitation,n,False
時効期間,じこうきかん,period of prescription,n,False
非訟事件,ひしょうじけん,non-contentious case,n,False
ＮＰＯ法,エヌピーオーほう,NPO law,n,False
虞犯少年,ぐはんしょうねん,juvenile deemed likely to commit a crime,n,False
触法少年,しょくほうしょうねん,juvenile delinquent under the age of fourteen,n,False
推定無罪,すいていむざい,presumption of innocence,n,False
責任能力,せきにんのうりょく,legal competency,n,False
準強姦罪,じゅんごうかんざい,(crime of) incapacitated rape,n,False
集団強姦,しゅうだんごうかん,gang rape,n,False
あへん法,あへんほう,Opium Control Act,n,False
ＪＡＳ法,ジャスほう,Act on Japanese Agricultural Standards,n,False
直接証拠,ちょくせつしょうこ,direct evidence,n,False
間接証拠,かんせつしょうこ,indirect evidence,n,False
虚偽表示,きょぎひょうじ,false representation,n,False
遺言能力,いごんのうりょく,testamentary capacity,n,False
判決理由,はんけつりゆう,ratio decidendi,n,False
取引制限,とりひきせいげん,restraint of trade,n,False
処分保留,しょぶんほりゅう,releasing without indictment,"n,vs",False
関連法案,かんれんほうあん,related bill,n,False
重要法案,じゅうようほうあん,important bill,n,False
間接正犯,かんせつせいはん,indirect principal offender,n,False
直接正犯,ちょくせつせいはん,direct principal offender,n,False
宇宙条約,うちゅうじょうやく,Outer Space Treaty,n,False
実効支配,じっこうしはい,effective control (over territory),n,False
契約自由,けいやくじゆう,freedom of contract,n,False
恩恵期間,おんけいきかん,period of grace (e.g. in which merchant vessels are allowed to leave a belligerent nation's port after an outbreak of war),n,False
接続水域,せつぞくすいいき,contiguous zone,n,False
確定裁判,かくていさいばん,final decision,n,False
判例違反,はんれいいはん,contravention of precedent,n,False
上告理由,じょうこくりゆう,ground for appeal,n,False
許可抗告,きょかこうこく,appeal by permission,n,False
再審請求,さいしんせいきゅう,petition for retrial,n,False
行為能力,こういのうりょく,capacity to act,n,False
善意占有,ぜんいせんゆう,bona fide possession,n,False
悪意占有,あくいせんゆう,mala fide possession,n,False
立法趣旨,りっぽうしゅし,legislative intent,n,False
旅行業法,りょこうぎょうほう,Travel Agency Act,n,False
交戦団体,こうせんだんたい,belligerent communities,n,False
整理解雇,せいりかいこ,restructuring termination (of employment),n,False
遺産分割,いさんぶんかつ,partition of an estate (inheritance),n,False
権利濫用,けんりらんよう,abuse of rights,n,False
挙証責任,きょしょうせきにん,burden of proof,n,False
立証責任,りっしょうせきにん,burden of proof,n,False
証明責任,しょうめいせきにん,burden of proof,n,False
審査請求,しんさせいきゅう,formal objection (to an administrative disposition),n,False
酌量減軽,しゃくりょうげんけい,reduction of punishment in the light of extenuating circumstances,n,False
